second,id,parent,node,organism_parent,lineage,x,y,role,energy
9,3,0,5,4294967295,4,3.26349,2.29116,8,1.32397
9,3,5,6,4294967295,4,3.45393,3.26206,3,0.762701
9,5,-1,0,1,2,9.99569,-10.3188,1,0.434039
9,6,-1,0,2,3,-13.9476,11.913,1,0.546914
9,7,-1,0,3,4,4.34774,1.17536,1,0.663739
9,5,0,1,1,2,10.4226,-9.4949,4,0.439861
9,6,0,1,2,3,-14.8388,11.4208,4,0.547814
9,7,0,1,3,4,4.5798,0.106401,8,1.41213
9,4,-1,0,0,1,-12.3299,-9.15223,1,0.279596
9,5,1,2,1,2,9.1785,-9.94046,3,0.470465
9,6,1,2,2,3,-13.598,11.022,3,0.555516
9,7,1,2,3,4,4.85562,-0.841509,3,0.87559
9,5,1,3,1,2,11.07,-10.6476,3,0.428479
9,6,1,3,2,3,-14.3379,12.6712,3,0.552418
9,7,0,3,3,4,5.18253,1.88768,8,1.0181
9,4,0,1,0,1,-11.8015,-9.8097,8,0.852938
9,6,0,4,2,3,-12.7583,12.3593,0,0.555767
9,7,3,4,3,4,5.9828,2.46837,3,0.58743
9,6,4,5,2,3,-11.6513,12.9748,0,0.591873
9,7,0,5,3,4,3.39737,1.71888,8,0.942661
9,6,5,6,2,3,-11.3363,14.2102,0,0.640819
9,7,5,6,3,4,2.66437,2.43571,3,0.525892
10,0,-1,0,4294967295,1,-12.7994,-8.50481,1,0.449294
10,0,0,1,4294967295,1,-11.9745,-8.32793,8,1.35047
10,0,0,2,4294967295,1,-13.337,-7.86402,8,1.4166
10,0,0,3,4294967295,1,-13.1659,-9.24984,8,1.3231
10,1,-1,0,4294967295,2,16.7437,-8.69236,1,0.575362
10,1,0,1,4294967295,2,16.1246,-9.38732,4,0.594801
10,1,1,2,4294967295,2,17.4566,-9.30851,3,0.554376
10,1,1,3,4294967295,2,15.7418,-8.10793,3,0.578627
10,2,-1,0,4294967295,3,-13.2559,11.9232,1,0.394219
10,2,0,1,4294967295,3,-13.4096,12.95,4,0.460516
10,2,1,2,4294967295,3,-14.5785,12.3677,3,0.491763
10,2,1,3,4294967295,3,-12.4335,12.0224,3,0.523793
10,2,0,4,4294967295,3,-12.9089,10.7009,0,0.590693
10,2,4,5,4294967295,3,-12.1763,9.61098,0,0.870457
10,2,5,6,4294967295,3,-10.9267,9.24023,0,0.857412
10,2,6,7,4294967295,3,-9.81902,8.58016,0,0.871588
10,2,7,8,4294967295,3,-8.47709,8.64351,0,0.884049
10,3,-1,0,4294967295,4,2.78805,0.964731,1,0.815248
10,3,0,1,4294967295,4,1.76584,0.484224,8,1.44892
10,3,1,2,4294967295,4,0.830777,0.115498,3,0.89178
10,3,0,3,4294967295,4,3.7237,0.379732,8,1.32541
10,3,3,4,4294967295,4,4.54226,-0.185551,3,0.758114
10,3,0,5,4294967295,4,2.86655,2.0927,8,1.30551
10,3,5,6,4294967295,4,2.90972,3.07683,3,0.76348
10,5,-1,0,1,2,9.76251,-9.86929,1,0.415083
10,6,-1,0,2,3,-13.9829,12.1887,1,0.539675
10,7,-1,0,3,4,4.68674,1.5143,1,0.568148
10,5,0,1,1,2,10.3942,-9.21108,4,0.408373
10,6,0,1,2,3,-14.9109,11.7203,4,0.524514
10,7,0,1,3,4,5.21193,0.457029,8,1.37896
10,4,-1,0,0,1,-12.3325,-9.15465,1,0.271467
10,5,1,2,1,2,9.08919,-9.43115,3,0.422358
10,6,1,2,2,3,-13.7543,11.0998,3,0.529013
10,7,1,2,3,4,5.4913,-0.536267,3,0.920635
10,5,1,3,1,2,10.4216,-10.509,3,0.396626
10,6,1,3,2,3,-14.6795,13.049,3,0.52145
10,7,0,3,3,4,5.29577,2.54446,8,0.931613
10,4,0,1,0,1,-11.8025,-9.8107,8,0.829066
10,6,0,4,2,3,-12.8002,12.6514,0,0.555328
10,7,3,4,3,4,5.89709,3.34131,3,0.573066
10,6,4,5,2,3,-11.5875,13.0786,0,0.567843
10,7,0,5,3,4,3.50947,1.47869,8,0.88812
10,6,5,6,2,3,-10.9024,14.1719,0,0.564618
10,7,5,6,3,4,2.45048,1.42337,3,0.534981
10,6,6,7,2,3,-10.1119,15.1876,0,0.542619
10,9,-1,0,7,4,5.4225,1.78134,1,0.5136
11,0,-1,0,4294967295,1,-12.8002,-8.5054,1,0.445814
11,0,0,1,4294967295,1,-11.9751,-8.33016,8,1.33565
11,0,0,2,4294967295,1,-13.3367,-7.86367,8,1.37439
11,0,0,3,4294967295,1,-13.1667,-9.25014,8,1.31961
11,1,-1,0,4294967295,2,17.019,-9.19954,1,0.580575
11,1,0,1,4294967295,2,16.1194,-9.43622,4,0.570485
11,1,1,2,4294967295,2,17.3104,-9.98502,3,0.576381
11,1,1,3,4294967295,2,16.577,-8.21545,3,0.560692
11,2,-1,0,4294967295,3,-13.2419,12.2578,1,0.538851
11,2,0,1,4294967295,3,-13.3798,13.2795,4,0.473414
11,2,1,2,4294967295,3,-14.5283,12.6294,3,0.440568
11,2,1,3,4294967295,3,-12.4498,12.2975,3,0.47236
11,2,0,4,4294967295,3,-13.0165,11.0179,0,0.63362
11,2,4,5,4294967295,3,-12.6083,9.77598,0,0.746895
11,2,5,6,4294967295,3,-11.4163,9.25984,0,0.920654
11,2,6,7,4294967295,3,-10.2566,8.69187,0,0.864089
11,2,7,8,4294967295,3,-8.93544,8.94591,0,0.866728
11,3,-1,0,4294967295,4,2.93893,0.680459,1,0.808404
11,3,0,1,4294967295,4,2.1072,-0.07081,8,1.3906
11,3,1,2,4294967295,4,1.25401,-0.594954,3,0.839589
11,3,0,3,4294967295,4,4.03091,0.571114,8,1.30776
11,3,3,4,4294967295,4,5.00645,0.460298,3,0.765421
11,3,0,5,4294967295,4,2.64748,1.78001,8,1.34746
11,3,5,6,4294967295,4,2.40421,2.74167,3,0.809208
11,5,-1,0,1,2,9.66428,-9.48616,1,0.40017
11,6,-1,0,2,3,-13.9755,12.4123,1,0.519395
11,7,-1,0,3,4,4.58502,1.70079,1,0.448111
11,5,0,1,1,2,10.3005,-8.83001,4,0.407645
11,6,0,1,2,3,-14.8828,11.9461,4,0.504276
11,7,0,1,3,4,5.46565,0.994048,8,1.15268
11,4,-1,0,0,1,-12.3301,-9.15263,1,0.289281
11,5,1,2,1,2,9.00053,-9.02398,3,0.398106
11,6,1,2,2,3,-13.6838,11.4212,3,0.50713
11,7,1,2,3,4,6.24258,0.404174,3,0.774572
